# 洪武正韻譯訓字表
# v20200322
# Compiled by hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# Trailing ' denotes 全濁上聲 syllables pronounced as 去聲.
# Modern vocalization (e. g. that found in theatry and Southwest Mandarin) may
#   palatalize or frictivize /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ /y/,
#   merge syllable codae -p -t -k to [ʔ],
#   drop breathiness in /ʂʱ/ /ʃʱ/ /sʱ/ /fʱ/ /ɦ/, and
#   merge /iaw/ and /iɛw/.
# Credits:
#   The gloss is adapted from digitalized text of 洪武正韻 in Kanseki Repository.
#   Digitalization and transliteration of 洪武正韻譯訓 syllabary is done by hhliow (github.com/hhliow).
# Reference:
#   成元慶 洪武正韻譯訓音研究
#   高田時雄 明末官話調值小考
char	譯訓	ipa	gloss
計	계〮俗기〮	ki˨˦	吉詣切籌策又筭也㑹計也又姓又最簿漢制郡國歲時上計師古曰計若今諸州之計帳
薊	계〮俗기〮	ki˨˦	姓也又草名又地名又木也或作𨜒
繫	계〮俗기〮	ki˨˦	結也縛也亦作係
係	계〮俗기〮	ki˨˦	同上易遯卦係遯有疾厲音吉詣反
繼	계〮俗기〮	ki˨˦	續也紹也本作㡭
㡭	계〮俗기〮	ki˨˦	反𢇍為㡭𢇍古絕字
髻	계〮俗기〮	ki˨˦	綰髮亦作紒結又屑韻
紒	계〮俗기〮	ki˨˦	又屑韻
結	계〮俗기〮	ki˨˦	漢書陸賈傳椎結又屑韻
𨜒	계〮俗기〮	ki˨˦	地名通作薊
轚	계〮俗기〮	ki˨˦	車牽也擢相擊拶周禮舟車轚互注轚互謂迫隘處劉兆注榖梁傳云轚繼也又陌韻
寄	계〮俗기〮	ki˨˦	吉器切寓也附託也
徛	계〮俗기〮	ki˨˦	石矼亦作碕俗作徛又齊韻
冀	계〮俗기〮	ki˨˦	説文北方也徐曰北方之州也爾雅兩河閒曰冀州五代改大名府又秦鉅鹿郡地魏置北冀州又姓又欲也
兾	계〮俗기〮	ki˨˦	禹貢作兾州
覬	계〮俗기〮	ki˨˦	覬覦希幸也俗作覬亦作懻
懻	계〮俗기〮	ki˨˦	懻忮狠也又强力漢書作
洎	계〮俗기〮	ki˨˦	肉汁也又灌釡中曰洎
漑	계〮俗기〮	ki˨˦	灌也又泰韻
旣	계〮俗기〮	ki˨˦	盡也已也又見寘韻
穊	계〮俗기〮	ki˨˦	稠也
驥	계〮俗기〮	ki˨˦	良馬亦作驥
𩦸	계〮俗기〮	ki˨˦	論語作驥
季	계〮俗기〮	ki˨˦	少也小稱左傳伯仲叔季凡末月曰季月末世曰季世
記	계〮俗기〮	ki˨˦	誌也又書疏
其	계〮俗기〮	ki˨˦	語已辭亦作忌已又支韻
忌	계〮俗기〮	ki˨˦	又寘韻
己	계〮俗기〮	ki˨˦	又紙韻
禨	계〮俗기〮	ki˨˦	福祥又沐而飲也禮記玉藻進禨注云飲作樂也沐必進飲盈氣也故木而飲謂之禨又齊韻
璣	계〮俗기〮	ki˨˦	珠不圓者又齊韻
曁	계〮俗기〮	ki˨˦	及也
刏	계〮俗기〮	ki˨˦	刲也又見齊韻
幾	계〮俗기〮	ki˨˦	未已也又將及也列子齊威公破之降北國幾克舉又支齊薺三韻
猘	계〮俗기〮	ki˨˦	同上切狂犬宋書張收甞為猘犬所傷食蝦蟆膾而愈亦作狾又漢五行志宋國逐狾狗音征例切
狾	계〮俗기〮	ki˨˦	
罽	계〮俗기〮	ki˨˦	魚網
𦇧	계〮俗기〮	ki˨˦	西胡毳布織毛為之若今氈毼及氍毹之類漢高紀作罽俗作罽
瀱	계〮俗기〮	ki˨˦	井一有水一無水説文从水从罽監本作㓹誤
瘈	계〮俗기〮	ki˨˦	狂也左傳哀十二年國狗之瘈又胡計切瘈縱
泥	녜〮俗니〮	ni˨˦	乃計切泥濘也執不通也又齊薺二韻
迡	녜〮俗니〮	ni˨˦	近也
膩	녜〮俗니〮	ni˨˦	肥膩
殢	녜〮俗니〮	ni˨˦	滯也
系	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	胡記切緒也繼也聮屬也亦作繫係
繫	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	周禮瞽矇奠世繫小史掌世繫辨昭穆注世繫謂帝繫諸侯卿大夫世本之屬又攣繫聮絡也亦作係又見上
係	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	同上又聮絡也挈束也統屬也賈誼賦使騏驥不可係羈兮賈誼傳係單于頸而制其命蘇武傳鴈足有係帛書孟子係累其子弟又吉詣切結也縛也
盻	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	恨視貎一曰下視佩觿集曰流俗以盻恨之盻為盼睞之盼莫以為非廣韻作研計切説文胡計切恨視也孟子使民盻盻然陸徳明引説文音五禮切亦誤又諫韻
禊	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	祓禊除惡祭名三月上已臨水祓除不祥
妎	ᅘᅨ〮俗ᅘᅵ〮	ɦi˨˦	苛妎也又心不了也妬也又泰韻
寐	몌〮俗믜〮	mi˨˦	彌計切寢也臥也息也寐者眛也目閉神藏莊子其寐也魂交
靡	몌〮俗믜〮	mi˨˦	揚雄賦聖風雲靡顔師古曰協韻音去聲又支薺韻
袂	몌〮俗믜〮	mi˨˦	袖也
謎	몌〮俗믜〮	mi˨˦	隱語也
滯	ᅑᅨ〮俗ᅑᅵ〮	dʒi˨˦	直例切凝也積也淹也留也廢也止也通作蹛
㿃	ᅑᅨ〮俗ᅑᅵ〮	dʒi˨˦	久痢也下重而赤白曰㿃
御	ᅌᅲ〮	ŋy˨˦	魚據切侍也撫也統也進也使也幸也用也御馬也亦作馭又步挽輦車詩徒御不驚又止也扞也亦作禦圉又勸侑曰御禮記御食於君又凡衣服被於體飲食適於口嬪妾接於寢器物用於手皆曰御又天子所止謂之御前書曰御書服曰御服皆取統御四海之義又語禡二韻
馭	ᅌᅲ〮	ŋy˨˦	周官太宰以八柄詔王馭羣臣以八統詔王馭萬民大馭掌馭玉路戎僕掌馭戎車道僕掌馭象路田僕掌馭田路馭夫掌馭貳車保氏四曰五馭大司徒作御詩書皆作御御與馭義同者不得重押義異者非
禦	ᅌᅲ〮	ŋy˨˦	止也扞也拒也亦作御又語韻
圉	ᅌᅲ〮	ŋy˨˦	禦也止也扞也陲也賈誼敘傳以强守圉協韻去聲又語韻
語	ᅌᅲ〮	ŋy˨˦	以言告人也又語韻
漁	ᅌᅲ〮	ŋy˨˦	佃漁揚雄解嘲或横江潭而漁協韻音去聲又魚韻
䱷	ᅌᅲ〮	ŋy˨˦	周禮䱷人釋文音魚又音御又亦作䰻又魚韻
遇	ᅌᅲ〮	ŋy˨˦	相逢也爾雅遇偶也不期而㑹也又冬朝之名又待也
寓	ᅌᅲ〮	ŋy˨˦	寄也託也又魚韻
禺	ᅌᅲ〮	ŋy˨˦	母猴屬又東魚二韻
虞	ᅌᅲ〮	ŋy˨˦	娛樂揚雄賦反五帝之虞協韻去聲又魚韻
飫	ᅙᅲ〮	ʔy˨˦	依據切燕食亦作說文飽也亦作饇从食从夭舊从大誤
饇	ᅙᅲ〮	ʔy˨˦	同上詩如食宜饇又私燕飲也
淤	ᅙᅲ〮	ʔy˨˦	澱宰方言水中可居為洲三輔謂之淤上林賦行乎洲淤之浦又魚韻
瘀	ᅙᅲ〮	ʔy˨˦	氣血壅病宋玉九辯形銷鑠而瘀傷
棜	ᅙᅲ〮	ʔy˨˦	陳饌薦尊器也又無足尊也
嫗	ᅙᅲ〮	ʔy˨˦	煦嫗又母也又老婦之稱又體嫗之也又語韻
嘔	ᅙᅲ〮	ʔy˨˦	嘘也又嘔喻和悅貎漢王褒傳嘔喻受之又魚尤有三韻
燠	ᅙᅲ〮	ʔy˨˦	燠咻痛念之聲亦作噢又語效屋三韻
豫	유〮	jy˨˦	羊茹切卦名逸也遊也悅也安也猒也樂也怠也猶豫也早也先也通作預與豫本獸名象屬故字从象
預	유〮	jy˨˦	先也安也廣韻樂也佚也怠也猒也通作豫又及也參預也干也通作與
與	유〮	jy˨˦	及也參與也干也通作豫預史記猶與未決漢書猛虎猶與又方與縣名又歎辭疑辭亦作歟三字義不同者可分押如用豫卦豫州逸豫與杜預參預猶與之類是也又魚語二韻
歟	유〮	jy˨˦	廣韻歎也又魚語韻
悆	유〮	jy˨˦	喜也
譽	유〮	jy˨˦	聲譽孟子令聞廣譽又叔譽晉叔向也又魚韻
轝	유〮	jy˨˦	兩手對舉之車又江南謂轎為肩轝亦作輿舁又魚韻
輿	유〮	jy˨˦	同上又平輿汝南地名又魚韻
舁	유〮	jy˨˦	乆魚韻
礜	유〮	jy˨˦	藥石蠶食之肥䑕食之死
穥	유〮	jy˨˦	黍稷美也
蕷	유〮	jy˨˦	山藥亦作與
藇	유〮	jy˨˦	又語韻
澦	유〮	jy˨˦	灩澦堆在瞿塘峽口
鸒	유〮	jy˨˦	雅烏也一名卑居亦作𪇬又魚韻
芌	유〮	jy˨˦	草根可食大者曰蹲鴟亦作芋
芋	유〮	jy˨˦	東方朔曰闗中土宜薑芋顔師古曰芋葉似藕荷而長不圓其根正白可食亦有紫者杜甫詩紫收岷嶺芋又魚韻
羽	유〮	jy˨˦	翼毛又羽音俗作羽又語韻
雨	유〮	jy˨˦	自上而下之曰雨詩雨雪其雱兩我公田春秋大雨雪之類又語韻
𩁹	유〮	jy˨˦	郭璞爾雅注江東呼美人虹為𩁹音王遇切古作雩又語韻
裕	유〮	jy˨˦	饒也寛也一曰衣物寛饒也从衣从谷
欲	유〮	jy˨˦	情欲潘岳西征賦泊恬静以無欲協韻音喻又屋韻
諭	유〮	jy˨˦	告也譬也曉也亦作喩當作諭
喩	유〮	jy˨˦	同上又姓又魚韻當作喻
瘉	유〮	jy˨˦	病也詩交相為瘉當作瘉又魚語韻
𥸤	유〮	jy˨˦	呼也和也
孺	ᅀᅲ〮	ʒy˨˦	而遇切稚也屬也長也爾雅屬也説文乳子也一曰輪也尚小也从子需聲
乳	ᅀᅲ〮	ʒy˨˦	育也从孚从乙
茹	ᅀᅲ〮	ʒy˨˦	說文飤馬也菜也茅根也食也受也詩柔亦不茹莊子不茹葷又測度也詩玁狁匪茹不可以茹又相牽引貌又魚語二韻
洳	ᅀᅲ〮	ʒy˨˦	沮洳漸溼之地又魚韻
如	ᅀᅲ〮	ʒy˨˦	似也往也見廣韻蘇軾和陶淵明乃比藺相如作去聲押又魚韻
去	큐〮	kʰy˨˦	區遇切來去相去去就離去之去又魚語二韻
驅	큐〮	kʰy˨˦	馬馳也又見魚尤二韻
呿	큐〮	kʰy˨˦	口開也莊子口呿而不合又魚麻二韻
胠	큐〮	kʰy˨˦	脅也又魚語合三韻
㰦	큐〮	kʰy˨˦	欠㰦終風詩釋文毛訓嚏作㰦今俗云欠欠㰦㰦又體倦則伸志倦則㰦或作呿出莊子見上
據	규〮	ky˨˦	居御切依據也引援也按也拒守也亦作据
鐻	규〮	ky˨˦	樂器似夾鍾莊子梓慶削鐻又魚語二韻
倨	규〮	ky˨˦	倨慠亦作裾又箕倨夷俟也亦作踞
裾	규〮	ky˨˦	漢趙禹為人㢘裾又魚韻
踞	규〮	ky˨˦	蹲踞獸直前足坐也又箕踞人傲坐形如箕也亦作倨史記張耳傳髙祖箕踞又據物而坐曰踞汲黯傳上踞厠視之
据	규〮	ky˨˦	㦸局手病詩予手拮据又魚韻
舉	규〮	ky˨˦	揚也挈起也揚雄解嘲蔡澤雖禁吟而笑唐舉師古曰協韻居御切崔駰逹㫖辭或望色而斯舉亦音據又語韻
鋸	규〮	ky˨˦	刀鋸
居	규〮	ky˨˦	止也詩日月其居又處也詩維鳩居之王肅音去聲又齊魚二韻
遽	규〮	ky˨˦	傳也窘也急猝也戰慄也亦作渠又魚韻
渠	규〮	ky˨˦	同上詩庭燎注未渠央釋文渠其據切義與遽同言未便至夜分也又豈也亦作詎又魚語二韻
詎	규〮	ky˨˦	同上亦作巨又語韻
巨	규〮	ky˨˦	漢書巨能入乎又語韻
蘧	규〮	ky˨˦	蘧蘧有形貌莊子蘧蘧然周也音渠又音其據切又魚韻
懅	규〮	ky˨˦	懼也慙也後漢書王霸慙懅而退
勮	규〮	ky˨˦	勤務又懼也疾也唐有王勮
醵	규〮	ky˨˦	合錢飲酒又魚藥二韻
屨	규〮	ky˨˦	說文革履也
鞻	규〮	ky˨˦	同上周禮鞮鞻氏注鞮鞻四夷舞者所屝也又音屢又尤韻
絇	규〮	ky˨˦	絲數又魚韻
句	규〮	ky˨˦	句絶文詞止處曰句又方也莊子履句屨者知地形又魚尤語宥韻
瞿	뀨〮	gy˨˦	忌遇切鷹隼視失守貌亦作懼又魚韻
懼	뀨〮	gy˨˦	漢東方朔傳懼然曷容東漢申屠剛傳懼然自刻又作愳
蒟	뀨〮	gy˨˦	木實可為亦作枸又語韻
枸	뀨〮	gy˨˦	又尤語有三韻
具	뀨〮	gy˨˦	備也辦也器具也从目从廾今作具
颶	뀨〮	gy˨˦	海中大風韓愈赴江陵詩颶起最可畏注嶺南錄異云嶺嶠夏秋雄風曰颶音具房千里投荒雜録云南方諸郡皆有颶風以其四面風俱至也蘇軾颶風賦颶風者具四方之風也永嘉人謂之風癡
共	뀨〮	gy˨˦	周禮内饔掌共羞脩刑膴胖骨鱐以待共膳注掌共共當為具釋文音具又東董送三韻
𩜃	뀨〮	gy˨˦	寒𩜃餅屬通作具
絮	ᄼᅲ〮	sy˨˦	息據切敝緜一曰繰餘為絮不繰為緜
覰	ᅔᅲ〮	tsʰy˨˦	七慮切伺視
狙	ᅔᅲ〮	tsʰy˨˦	同上又猴也又魚韻
蜡	ᅔᅲ〮	tsʰy˨˦	周禮蜡氏掌除骴注骨肉腐臭蠅蟲所蜡音狙伺之狙又禡韻
娶	ᅔᅲ〮	tsʰy˨˦	取婦詩禮記作取
取	ᅔᅲ〮	tsʰy˨˦	同上又索也詩如酌孔取箋云孔取謂度所勝多少又獲也收也受也又魚語有三韻
趣	ᅔᅲ〮	tsʰy˨˦	疾也向也亦作趨又指意也又魚有屋三韻
趨	ᅔᅲ〮	tsʰy˨˦	又魚屋二韻
怚	ᅎᅲ〮	tsy˨˦	將豫切驕也
沮	ᅎᅲ〮	tsy˨˦	漸沮浸溼之地詩汾沮洳又魚語二韻
苴	ᅎᅲ〮	tsy˨˦	茅苴籍封終軍白麟對苴白茅於江淮音租又魚模語馬四韻
足	ᅎᅲ〮	tsy˨˦	益也又足恭梗辟貌又足其不足曰足見周禮地官注釋文又屋韻
聚	ᅏᅲ〮	dzy˨˦	族遇切會也萃也斂也又邑落曰聚漢平帝立學官聚曰序顔師古曰聚小於鄉音才喻切又聚之辨在語韻
𡒍	ᅏᅲ〮	dzy˨˦	土積
恕	ᄾᅲ〮	ʃy˨˦	商豫切以己體人曰恕論語子貢問曰有一言而可以終身行之者乎子曰其恕乎己所不欲勿施於人
庶	ᄾᅲ〮	ʃy˨˦	衆也侈也冀也近也又章恕掌與二切周禮庶氏古作
樹	ᄿᅲ〮	ʃʱy˨˦	殊遇切生植之總名也
澍	ᄿᅲ〮	ʃʱy˨˦	時雨也又音注見下
裋	ᄿᅲ〮	ʃʱy˨˦	說文豎使布長𥜗集韻或作又貢禹傳穅豆不贍裋褐不完師古曰裋者童豎所著褐毛布衣
戍	ᄿᅲ〮	ʃʱy˨˦	守邊又遏也舍也从人从戈人荷戈所以戍也
輸	ᄿᅲ〮	ʃʱy˨˦	委輸漢有三輔委輸官掌委輸者也凡以物送之曰輸則音平聲指所送之物曰輸則音去聲委輸之委亦音去聲當作輸又魚韻
隃	ᄿᅲ〮	ʃʱy˨˦	西隃鴈門地名當作隃又魚蕭二韻
束	ᄿᅲ〮	ʃʱy˨˦	結約也周禮司約云掌言語之約束釋文約於妙切束詩注切並又音如字據此則漢書要束字亦當有兩音又束縛也縛字有兩音束字亦當兩音又屋韻
署	ᄿᅲ〮	ʃʱy˨˦	說文部署也各有所网屬也徐曰署置之言羅絡之若罘网也廣韻書也又官舍曰署國語位政之建也署位之表也謂表識也
曙	ᄿᅲ〮	ʃʱy˨˦	旦也廣韻曉也集韻或省作暏
處	ᅕᅲ〮	tʃʰy˨˦	昌據切所也又語韻
絮	ᅕᅲ〮	tʃʰy˨˦	同上切次清音調羮禮記毋絮羮注絮猶調也詳於味疏云就食器中調足鹽梅是嫌食惡又見上
著	ᅐᅲ〮	tʃy˨˦	陟慮切明也章也紀述也亦作箸又朝内列位曰表著又見下又魚語藥三韻
箸	ᅐᅲ〮	tʃy˨˦	又見下又藥韻
翥	ᅐᅲ〮	tʃy˨˦	飛舉也
註	ᅐᅲ〮	tʃy˨˦	訓釋也
注	ᅐᅲ〮	tʃy˨˦	灌注水流射也亦作主又與註同又眷注意所主也又注措謂指嚮措置也又蟲喙考工記以注鳴者又宥韻
主	ᅐᅲ〮	tʃy˨˦	荀子主量必平似注音訓與注同又語韻
霔	ᅐᅲ〮	tʃy˨˦	時雨亦作注又霖霔
咮	ᅐᅲ〮	tʃy˨˦	鳥聲又喙也亦作注又魚尤宥三韻
澍	ᅐᅲ〮	tʃy˨˦	時雨也
鑄	ᅐᅲ〮	tʃy˨˦	鎔金入範
軴	ᅐᅲ〮	tʃy˨˦	車軴
䪒	ᅐᅲ〮	tʃy˨˦	戎服蔽厀一曰皮袴亦作注左傳有韎韋之跗注杜預曰韎赤色跗注戎服若袴而屬於跗與袴連
炷	ᅐᅲ〮	tʃy˨˦	火炷燼所著者又語韻
馵	ᅐᅲ〮	tʃy˨˦	馬後左足白
屬	ᅐᅲ〮	tʃy˨˦	甲札之數禮犀甲七屬又著也又屋韻
紸	ᅐᅲ〮	tʃy˨˦	著也荀子紸纊聽息之時楊倞曰紸讀為注注纊即屬纊也
燭	ᅐᅲ〮	tʃy˨˦	照也明也漢武帝紀光集于靈壇一夜三燭音注亦作炷又屋韻
爥	ᅐᅲ〮	tʃy˨˦	文選東都賦散皇明以爥幽
曯	ᅐᅲ〮	tʃy˨˦	照也文粹沈亞之上冡官書戎鏡包陽當日而曯之則能延燧興火又屋韻
祝	ᅐᅲ〮	tʃy˨˦	周禮瘍醫掌祝藥注云祝讀如注病之注謂附著藥也又宥屋二韻
筯	ᅑᅲ〮	dʒy˨˦	治據切梜也亦作箸
箸	ᅑᅲ〮	dʒy˨˦	又見上
柱	ᅑᅲ〮	dʒy˨˦	撐也榰也又語韻
駐	ᅑᅲ〮	dʒy˨˦	止馬
𨙦	ᅑᅲ〮	dʒy˨˦	馬不行又東韻
住	ᅑᅲ〮	dʒy˨˦	停手見廣韻止也
鉒	ᅑᅲ〮	dʒy˨˦	置也又送死人物也
除	ᅑᅲ〮	dʒy˨˦	減也去也詩日月其除風雨攸除又開出也詩何福不除又魚韻
著	ᅑᅲ〮	dʒy˨˦	朝内列位又門屏之間齊風有著詩顔師古曰著地名即濟南郡著縣一曰門屏之間
躇	ᅑᅲ〮	dʒy˨˦	躊躇住足也漢武帝賦哀裵囘以躊躇音去聲又魚藥二韻
噓	휴〮	hy˨˦	許御切吹嘘見廣韻韓愈元和聖徳詩柴燄嘘呵音去聲又魚韻
煦	휴〮	hy˨˦	說文烝也一曰赤貌一曰温潤
昫	휴〮	hy˨˦	說文日出温也从日句聲又昫衍縣名
呴	휴〮	hy˨˦	氣以温之也或作欨亦作咻休周禮考工記夫角之未休于氣通作煦禮記嫗煦覆育
䣱	휴〮	hy˨˦	說文醉醟也或作酗書沈酗于酒以酒為凶曰酗前趙充國傳醉䣱羌人師古曰即酗字醉怒曰䣱
吁	휴〮	hy˨˦	歎也廣韻疑怪辭又魚韻
慮	류〮	ly˨˦	良據切謀思也憂也疑也又總計曰亡慮前漢書注師古曰舉凡之言無非思慮而大計增韻猶言多少如是無疑也又姓也又魚韻
鑢	류〮	ly˨˦	錯銅
䥨	류〮	ly˨˦	同上考工記注磨䥨之器
勴	류〮	ly˨˦	助也賛勉也
爈	류〮	ly˨˦	熂爈
濾	류〮	ly˨˦	漉去滓也
𧭜	류〮	ly˨˦	詐也
錄	류〮	ly˨˦	史錄囚亦作慮囚俗作録又屋韻
窶	류〮	ly˨˦	貧無禮也亦作寠詩正月箋小人富而窶陋將貴也窶上聲又意慮又尤語二韻
屢	류〮	ly˨˦	頻數也疾也亦作婁
婁	류〮	ly˨˦	又魚尤語有四韻
僂	류〮	ly˨˦	尫僂又傴僂又莊子痀僂承蜩有兩音又尤語宥三韻
女	뉴〮	ny˨˦	尼據切以女妻人又語韻
䨲	뉴〮	ny˨˦	兔子韓愈毛穎傳明眎八世孫䨲又尤韻
暮	무〮	mu˨˦	莫故切日晚又冥也本作莫
莫	무〮	mu˨˦	又藥陌二韻
慕	무〮	mu˨˦	習也思也系戀也
墓	무〮	mu˨˦	墟墓鄭康成曰冢塋之地孝子所思慕之處檀弓古也墓而不墳注墓為兆域今之封塋也土之髙者曰墳又模韻
募	무〮	mu˨˦	廣求又招也
慔	무〮	mu˨˦	勉也
鋪	푸〮	pʰu˨˦	普故切設也陳也賈肆也又見模韻
誧	푸〮	pʰu˨˦	玉篇謀也又模姥二韻
布	부〮	pu˨˦	博故切陳也鋪也又錢别名漢志布於布謂錢之流布廣於布帛也又布帛小爾雅麻紵葛曰布篆文从父从巾今作布
佈	부〮	pu˨˦	徧也
怖	부〮	pu˨˦	惶懼也亦作悑
圃	부〮	pu˨˦	種菜曰圃又圃田鄭地列子居鄭圃又姥韻
抪	부〮	pu˨˦	布散也擊也漢中山靖王傳塵埃抪散
步	뿌〮	bu˨˦	薄故切徐行又一舉足曰步爾雅堂下謂之步步布也禮所謂堂下布武是也又曰徒鼓瑟謂之步又輦行曰步武成王朝步自周召誥王朝步自周則至于豐畢命王朝步自宗周至于豐皆輦行也後世稱輦車曰步輦謂人荷而行不駕馬也又水際渡頭曰步又司馬法六尺為步又姓又災害馬之神周禮校人冬祭馬步从止从少反止為少音他達切蹈也今文作少从少誤
捕	뿌〮	bu˨˦	擒捉也亦作搏
𩣝	뿌〮	bu˨˦	𩣝馬習馬
搏	뿌〮	bu˨˦	又藥韻
哺	뿌〮	bu˨˦	食在口又口飤韓愈詩雞來哺其兒
䊇	뿌〮	bu˨˦	餹餌亦作餔
餔	뿌〮	bu˨˦	同上又食也孟子徒餔啜也有兩音又模韻
荹	뿌〮	bu˨˦	亂草
酺	뿌〮	bu˨˦	會飲食一曰災害之神馬病蝗螟害稼皆祭之周禮族師春秋祭酺注云酺者為人物烖害之神也故書酺或為步杜子春云當為酺又模韻
𩍘	뿌〮	bu˨˦	𩍘靫箭室亦作⿰革䓒俗作鞴亦一作步又一名箙又寘屋二韻
簿	뿌〮	bu˨˦	笏也又籍也又領也孔子先簿正祭器荀子五官簿之而不知又車駕法從次第為鹵簿又姥藥韻
部	뿌〮	bu˨˦	分也又摠也部伍又部曲說文天水狄部从邑咅聲徐曰部屬也部之言簿也吕氏春秋曰黎丘北部太玄方州部分部諸縣
素	ᄼᅮ〮	su˨˦	蘇故切質素又情素又白也徒也又故舊平常曰雅素常所踐履曰素履又徒行曰素行又與傃同中庸曰素其位而行謂安其常分而行也又霍光傳注菜食無肉曰素食鄭康成解喪服素食曰平常之食失之矣又白練曰素又衣物無飾曰素禮喪物尚素又器皿桮棬之朴曰素从主从糸
訴	ᄼᅮ〮	su˨˦	告也訟也亦作愬或作𧪜
愬	ᄼᅮ〮	su˨˦	又陌韻
愫	ᄼᅮ〮	su˨˦	真情通作素
傃	ᄼᅮ〮	su˨˦	向也又循其常分曰傃中庸傃其位而行注傃皆讀曰素今本作素愫傃二字與素同者不可重押義異者非
㴑	ᄼᅮ〮	su˨˦	逆流而上曰㴑洄順流而下曰㴑游又凡逆流而上者皆曰㴑亦作泝遡
泝	ᄼᅮ〮	su˨˦	左傳沿漢泝江杜預曰沿順流泝逆流
遡	ᄼᅮ〮	su˨˦	同上又迎也向也揚子其遡於日乎
塐	ᄼᅮ〮	su˨˦	埏土象物亦作塑
塑	ᄼᅮ〮	su˨˦	見上
嗉	ᄼᅮ〮	su˨˦	鳥亢
措	ᅔᅮ〮	tsʰu˨˦	倉故切處置也安著也施布也又委置也亦作厝通作錯
厝	ᅔᅮ〮	tsʰu˨˦	又藥韻
錯	ᅔᅮ〮	tsʰu˨˦	同上又金塗謂之錯又姓又藥韻
醋	ᅔᅮ〮	tsʰu˨˦	苦酒又酸也亦作酢又藥韻
酢	ᅔᅮ〮	tsʰu˨˦	又藥韻
祚	ᅏᅮ〮	dzu˨˦	靖故切位也祿福也說文作胙
胙	ᅏᅮ〮	dzu˨˦	建置社稷曰胙左傳胙之土而命之氏又守社稷曰胙左傳無克胙國又福之使社稷久長曰胙揚子天胙光徳
阼	ᅏᅮ〮	dzu˨˦	土階
𦰼	ᅏᅮ〮	dzu˨˦	藉也
飵	ᅏᅮ〮	dzu˨˦	相謁食也
作	ᅎᅮ〮	tsu˨˦	臧祚切造為也後漢㢘范傳㢘叔度來何暮不禁火民安作平生無襦今五袴又見箇藥二韻
祖	ᅎᅮ〮	tsu˨˦	餞行也祖奠送行祭也禮記檀弓生祖謂人既祖填池注移柩車去載處為行始也又姥韻周禮喪祝注祖謂塟祖於庭象生時出則祖也釋文無音漢書疏廣傳設祖道亦無音合於上去二聲通押
助	ᅑᅮ〮	ɖʐu˨˦	狀祚切益也佐輔也勴也求也嚴也相也
耡	ᅑᅮ〮	ɖʐu˨˦	商時之稅
詛	ᅐᅮ〮	ʈʂu˨˦	莊助切呪詛亦作誅又語韻
妒	두〮	tu˨˦	都故切争色詩作妬
㓃	두〮	tu˨˦	祭奠酒爵亦作咤
咤	두〮	tu˨˦	書王三㝛三祭三咤許叔重作託
姹	두〮	tu˨˦	美女又河上姹女水銀也又馬禡二韻
奼	두〮	tu˨˦	又禡韻
斁	두〮	tu˨˦	敗也又陌韻
蠹	두〮	tu˨˦	食禾蟲古作螙蛀蟲皆曰蠹
秅	두〮	tu˨˦	禾四百秉又麻韻
度	뚜〮	du˨˦	獨故切過也則也分寸丈尺引曰五度又與渡同賈誼曰度江河亡維楫又藥韻
渡	뚜〮	du˨˦	濟也古作度俗作渡
鍍	뚜〮	du˨˦	塗金飾物又模韻
肚	뚜〮	du˨˦	腹肚
兔	투〮	tʰu˨˦	土故切獸名亦作菟
菟	투〮	tʰu˨˦	嚴延年傳韓盧取菟又模韻
吐	투〮	tʰu˨˦	寫也出也舒也歐也又姥韻
鵵	투〮	tʰu˨˦	鳥名
路	루〮	lu˨˦	魯故切一達謂之道路又大也車也又姓又羸瘠也勞弊也孟子是率天下而路也又頽圯貌荀子田疇穢都邑路注路謂無城都牆垣尋此二義皆謂露現古露字也又藥韻
輅	루〮	lu˨˦	車也周禮作路左傳篳路杜詩曰柴車也釋名謂之輅者言行於道路也路輅義同義異者非又禡陌二韻
賂	루〮	lu˨˦	遺也贈也
璐	루〮	lu˨˦	玉名
露	루〮	lu˨˦	夜氣著物為露說文潤澤也蔡邕月令陰之液也又現也羸也人羸則體露列子形甚露
潞	루〮	lu˨˦	水名冀州之浸又國名州名
簬	루〮	lu˨˦	竹名亦作簵
簵	루〮	lu˨˦	見上
鷺	루〮	lu˨˦	白鷺一名舂鉏頭有細毛如絲者名鷺鷥
怒	누〮	nu˨˦	怒故切恚也憤也又姥韻中庸喜怒哀樂之未發謂之中詩大雅王赫斯怒孟子文王一怒而安天下之民並無音唯衛風逢彼之怒釋文云怒協韻乃故反是正音上聲又音去聲合於二韻通用
笯	누〮	nu˨˦	鳥籠又模麻二韻
護	ᅘᅮ〮	ɦu˨˦	胡故切擁全之也救視也又與濩同荀子武象起而韶護廢上从𦫳非从艹也俗作䕶
濩	ᅘᅮ〮	ɦu˨˦	布濩流散也又湯樂名漢志濩言救民也又藥陌二韻俗作
