CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
楟	tʱiŋ˩	/tree/
楠	nam˩	/Machilus nanmu/Chinese cedar/Chinese giant redwood/
楠木	nam˩ muʔᵏ˩	/Phoebe zhennan/Machilus nanmu/Chinese cedar/Chinese giant redwood/
楠梓	nam˩ tsɨ˥˧	/Nanzi or Nantzu district of Kaohsiung city 高雄市, south Taiwan/
楠竹	nam˩ tʃyuʔᵏ	/see 毛竹/
楣	mui˩	/lintel/crossbeam/
楦	hyuɛn˨˦	/to block (a hat)/to stretch (a shoe)/
楦子	hyuɛn˨˦ tsɨ˥˧	/shoe tree/hat block/
楦頭	hyuɛn˨˦ tʱəw˩	/toe box (of a shoe)/shoe last (shoemaker's tool)/
楨	tʃiŋ	/evergreen shrub/
楩	pʱiɛn˩	/(tree)/
楪	jiɛʔᵖ˩	/small dish/window/
業	ŋiɛʔᵖ˩	/surname Ye/
業	ŋiɛʔᵖ˩	/line of business/industry/occupation/job/employment/school studies/enterprise/property/(Buddhism) karma/deed/to engage in/already/
業已	ŋiɛʔᵖ˩ ji˥˧	/already/
業師	ŋiɛʔᵖ˩ ʂɨ	/teacher/one's teacher/
業態	ŋiɛʔᵖ˩ tʰai˨˦	/(retail industry) format/
業海	ŋiɛʔᵖ˩ hai˥˧	/sea of evil/endless crime/
業滿	ŋiɛʔᵖ˩ mwɔn˥˧	/to have paid one's karmic debts (Buddhism)/
業界	ŋiɛʔᵖ˩ kiai˨˦	/industry/
業績	ŋiɛʔᵖ˩ tsiʔᵏ	/achievement/accomplishment/(in more recent usage) performance (of a business, employee etc)/results/
業者	ŋiɛʔᵖ˩ tʃiɛ˥˧	/dealer/trader/person engaged in some industry or trade/
業餘	ŋiɛʔᵖ˩ jy˩	/in one's spare time/outside working hours/amateur (historian etc)/
業餘愛好者	ŋiɛʔᵖ˩ jy˩ ʔai˨˦ haw˨˦ tʃiɛ˥˧	/hobbyist/amateur/
業餘者	ŋiɛʔᵖ˩ jy˩ tʃiɛ˥˧	/amateur/
楸	tsʰiw	/Catalpa/Mallotus japonicus/
楹	jiŋ˩	/pillar/
榎	ɦia'˨˦	/(evergreen shrub)/Celtis sinensis/
榕	jyuŋ˩	/banyan tree/Ficus wightiana/
榕江	jyuŋ˩ kiɑŋ	/Rongjiang county in Qiandongnan Miao and Dong autonomous prefecture 黔東南州|黔东南州, Guizhou/
榘	ky˥˧	/variant of 矩/
榠	miŋ˩	/Chinese quince/
榤	giɛʔᵗ˩	/a stump on which chickens roost/
榥	ɦwɑŋ'˨˦	/screen/
榦	kɑn˨˦	/tree trunk/
榧	fi˥˧	/Torreya nucifera/
榨	ʈʂa˨˦	/to press/to extract (juice)/device for extracting juice, oils etc/
榨油	ʈʂa˨˦ jiw˩	/to extract oil from vegetables/to press/
榨菜	ʈʂa˨˦ tsʰai˨˦	/hot pickled mustard tuber/
榭	sʱiɛ˨˦	/pavilion/
榮	jyuəŋ˩	/surname Rong/
榮	jyuəŋ˩	/glory/honor/thriving/
榮光	jyuəŋ˩ kwɑŋ	/glory/
榮威	jyuəŋ˩ ʔui	/Roewe (brand)/
榮幸	jyuəŋ˩ ɦiŋ'˨˦	/honored (to have the privilege of ...)/
榮成	jyuəŋ˩ tʃʱiŋ˩	/Rongcheng county level city in Weihai 威海, Shandong/
榮成灣	jyuəŋ˩ tʃʱiŋ˩ ʔwan	/Roncheng bay near Weihai 威海市 on north coast of Shandong/
榮歸	jyuəŋ˩ kui	/to return home with honor/
榮歸故里	jyuəŋ˩ kui ku˨˦ li˥˧	/to return home with honor/
榮毅仁	jyuəŋ˩ (ŋ)i˨˦ ʒin˩	/Rong Yiren (1916-2005), PRC Vice President from 1993-1998, played an important role in opening Chinese economy to Western investors/
榮民	jyuəŋ˩ min˩	/retired soldier/veteran/
榮登	jyuəŋ˩ təŋ	/(of a list, music chart etc) to reach the top/
榮美	jyuəŋ˩ mui˥˧	/glorious/
榮耀	jyuəŋ˩ jiɛw˨˦	/honor/glory/
榮軍	jyuəŋ˩ kyun	/abbr. for 榮譽軍人|荣誉军人/
榮辱	jyuəŋ˩ ʒyuʔᵏ˩	/honor and disgrace/reputation/
榰	tʃɨ	/base of pillar/prop/
榱	tsʰui	/rafter (classical)/
榴	liw˩	/pomegranate/
榴蓮	liw˩ liɛn˩	/durian fruit/Durio zibethinus/
榻	tʰaʔᵖ	/couch/
榻榻米	tʰaʔᵖ tʰaʔᵖ mji˥˧	/tatami (loanword)/
榼	kʰɔʔᵖ	/Pusaetha scandens/
榿	kʰji	/alder/
榿木	kʰji muʔᵏ˩	/alder/
槁	kaw˥˧	/dried up (wood)/dead tree/
槃	pʱwɔn˩	/variant of 盤|盘/wooden tray/
槊	ʂwɒʔᵏ	/long lance/
構	kəw˨˦	/to construct/to form/to make up/to compose/literary composition/paper mulberry (Broussonetia papyrifera)/
構件	kəw˨˦ giɛn'˨˦	/member/component/part/
構圖	kəw˨˦ tʱu˩	/(art) composition/
構型	kəw˨˦ ɦiŋ˩	/structure/(spatial) configuration/arrangement/(chemistry) configuration (molecular, electron etc)/
構想	kəw˨˦ siɑŋ˥˧	/to conceive/concept/
構想圖	kəw˨˦ siɑŋ˥˧ tʱu˩	/notional diagram (i.e. made-up picture or artist's impression for news story)/
構成	kəw˨˦ tʃʱiŋ˩	/to constitute/to form/to compose/to make up/to configure (computing)/
構架	kəw˨˦ kia˨˦	/structure/
構築	kəw˨˦ tʃyuʔᵏ	/to build/to construct/
構詞	kəw˨˦ sʱɨ˩	/composite word/
構陷	kəw˨˦ ɦiam˨˦	/to frame/to bring false charges against/
槢	sʱiʔᵖ˩	/a hard wood/
槥	ui˨˦	/coffin/
槨	kwɒʔᵏ	/outer coffin/
槩	kai˨˦	/old variant of 概/
槲	ɦuʔᵏ˩	/Mongolian oak (Quercus dentata)/see also 槲樹|槲树/
槲寄生	ɦuʔᵏ˩ ki˨˦ ʂəŋ	/mistletoe/
槽	tsʱaw˩	/trough/manger/groove/channel/(Tw) (computing) hard drive/
槽位	tsʱaw˩ ui˨˦	/slot/
槽孔	tsʱaw˩ kʰuŋ˥˧	/slot/groove/slotted hole/
槽鋼	tsʱaw˩ kɑŋ	/steel groove/V-shaped steel bar/
槽頭	tsʱaw˩ tʱəw˩	/feeding trough in stable/
槽齒目	tsʱaw˩ tʃʰɨ˥˧ muʔᵏ˩	/Thecodontia (obsolete taxonomic grouping of reptiles)/
槽齒類	tsʱaw˩ tʃʰɨ˥˧ lui˨˦	/thecodont (type of reptile that existed in the Permian and Triassic Periods)/
槿	kin˥˧	/Hibiscus syriacus/transient/
樁	ʈʂwɑŋ	/stump/stake/pile/classifier for items/
樁腳	ʈʂwɑŋ kiɒʔᵏ	/pier foundation (architecture)/(Tw) politically influential figure enlisted to support one side in an election/
樆	lji˩	/manjack or cordia (genus Cordia)/
樆	lji˩	/rowan or mountain ash (genus Sorbus)/
樓	ləw˩	/surname Lou/
樓	ləw˩	/house with more than 1 story/storied building/floor/CL:層|层,座,棟|栋/
樓子	ləw˩ tsɨ˥˧	/pavilion/variant of 婁子|娄子/
樓宇	ləw˩ jy˥˧	/building/
樓層	ləw˩ tsʱəŋ˩	/story/floor/
樓座	ləw˩ dz(w)ɔ˨˦	/gallery seat (in theater)/
樓廂	ləw˩ siɑŋ	/loft/
樓板	ləw˩ pan˥˧	/floor/floor (ie. metal plate, concrete slab, wooden planking etc)/
樓櫓	ləw˩ lu˥˧	/watch tower/movable battlefield turret/
樓盤	ləw˩ pʱwɔn˩	/building under construction/commercial property/real estate (for sale or rent)/
樓船	ləw˩ tʃʱyuɛn˩	/ship with several decks/turreted junk/
樓蘭	ləw˩ lan˩	/ancient oasis town of Kroraina or Loulan on the Silk road near Lop Nor 羅布泊|罗布泊, modern Xinjiang/
樓閣	ləw˩ kɒʔᵏ	/building/pavilion/
樓閣塔	ləw˩ kɒʔᵏ tʰaʔᵖ	/multi-storied pagoda/
樓面	ləw˩ miɛn˨˦	/floor/
樓頂	ləw˩ tiŋ˥˧	/top of a building/
樕	suʔᵏ	/shrub/
樟	tʃiɑŋ	/camphor/Cinnamonum camphara/
樟宜	tʃiɑŋ ji˩	/Changi, area in the east of Singapore, where Singapore Changi Airport is located/
樟木	tʃiɑŋ muʔᵏ˩	/Dram (Chinese Zhangmu), town at Tibet-Nepal border/
樟腦	tʃiɑŋ naw˥˧	/camphor C10H16O/
樟腦丸	tʃiɑŋ naw˥˧ ɦwɔn˩	/camphor balls/moth balls/
樟腦球	tʃiɑŋ naw˥˧ kʱiw˩	/camphor balls/moth balls/
模	mu˩	/to imitate/model/norm/pattern/
模	mu˩	/mold/die/matrix/pattern/
模具	mu˩ gy˨˦	/mold/matrix/pattern or die/Taiwan pr. [mo2 ju4]/
模因	mu˩ ʔin	/meme (loanword)/
模型	mu˩ ɦiŋ˩	/model/mold/matrix/pattern/
模壓	mu˩ ʔiaʔᵖ	/mold pressing/
模子	mu˩ tsɨ˥˧	/mold/matrix/pattern or die/
模寫	mu˩ siɛ˥˧	/variant of 摹寫|摹写/
模式	mu˩ ʃiʔᵏ	/mode/method/pattern/
模形	mu˩ ɦiŋ˩	/pattern/
模態	mu˩ tʰai˨˦	/modal (computing, linguistics)/
模擬	mu˩ (ŋ)ji˥˧	/imitation/to simulate/to imitate/analog (device, as opposed to digital)/
模擬器	mu˩ (ŋ)ji˥˧ kʰi˨˦	/emulator/
模板	mu˩ pan˥˧	/template/(architecture) formwork/
模特	mu˩ dəʔᵏ˩	/(fashion) model (loanword)/
模特兒	mu˩ dəʔᵏ˩ ɻ˩	/(fashion) model (loanword)/
模範	mu˩ fʱam'˨˦	/model/fine example/
模糊	mu˩ ɦu˩	/vague/indistinct/fuzzy/
模組	mu˩ tsu˥˧	/(hardware or software) module (computing)/
模胡	mu˩ ɦu˩	/variant of 模糊/
樲	ɻ˨˦	/acid variety of jujube plum/
樴	tʃiʔᵏ	/stake/picket/
樵	tsʱiɛw˩	/firewood/gather wood/
樵子	tsʱiɛw˩ tsɨ˥˧	/woodcutter/
樺	hwa	/birch tree/Betula japonica/
樺川	hwa tʃʰyuɛn	/Huachuan county in Kiamusze or Jiamusi city 佳木斯, Heilongjiang/
樺木	hwa muʔᵏ˩	/birch/
樺木科	hwa muʔᵏ˩ kʰwɔ	/Betulaceae (broadleaf tree family including birch and alder)/
樾	(ŋ)jyuɛʔᵗ˩	/shade of trees/
橁	tʃʰyun	/Fraxinus bungeana/
橆	vu˥˧	/variant of 無|无/negative/none/without/apart from/
橐	tʰɒʔᵏ	/sack/tube open at both ends/(onom.) footsteps/
橐中裝	tʰɒʔᵏ tʃyuŋ ʈʂwɑŋ	/gems/jewels/valuables/
橐橐	tʰɒʔᵏ tʰɒʔᵏ	/(onom.) footsteps/
橐笥	tʰɒʔᵏ sɨ˨˦	/bag/satchel/
橐筆	tʰɒʔᵏ piʔᵗ	/to make one's living by writing/
橐駝	tʰɒʔᵏ tʱɔ˩	/camel/hunchback/
橐龠	tʰɒʔᵏ jiɒʔᵏ˩	/bellows for blowing up the fire in a furnace etc/
橕	ʈʂʰəŋ	/a prop/a shore/
橘	kyʔᵗ	/mandarin orange (Citrus reticulata)/tangerine/
橘子	kyʔᵗ tsɨ˥˧	/tangerine/CL:個|个,瓣/
橘子水	kyʔᵗ tsɨ˥˧ ʂui˥˧	/orangeade/orange squash/CL:瓶,杯,罐,盒/
橘子醬	kyʔᵗ tsɨ˥˧ tsiɑŋ˨˦	/orange jam/marmalade/
橘色	kyʔᵗ ʂəʔᵏ	/orange (color)/
橜	gyuɛʔᵗ˩	/old variant of 橛/
機	kji	/surname Ji/
機	kji	/machine/engine/opportunity/intention/aircraft/pivot/crucial point/flexible (quick-witted)/organic/CL:臺|台/
機件	kji giɛn'˨˦	/component (mechanics)/
機伶	kji liŋ˩	/variant of 機靈|机灵/
機制	kji tʃji˨˦	/mechanism/
機器	kji kʰi˨˦	/machine/CL:臺|台,部,個|个/
機器人	kji kʰi˨˦ ʒin˩	/mechanical person/robot/android/
機器翻譯	kji kʰi˨˦ fan jiʔᵏ˩	/machine translation/
機場	kji tʃʱiɑŋ˩	/airport/airfield/CL:家,處|处/
機子	kji tsɨ˥˧	/machine/device/
機宜	kji ji˩	/guidelines/what to do (under given circumstances)/
機密	kji miʔᵗ˩	/secret/classified (information)/
機密性	kji miʔᵗ˩ siŋ˨˦	/confidentiality/
機密文件	kji miʔᵗ˩ vun˩ giɛn'˨˦	/secret document/
機尾	kji vi˥˧	/the rear (tail) of a plane etc/
機庫	kji kʰu˨˦	/(aircraft) hangar/
機敏	kji min˥˧	/agility/
機智	kji tʃi˨˦	/quick-witted/resourceful/
機械	kji ɦiai˨˦	/machine/machinery/mechanical/(old) cunning/scheming/
機械化	kji ɦiai˨˦ hwa˨˦	/to mechanize/
機械工	kji ɦiai˨˦ kuŋ	/a mechanic/
機械工人	kji ɦiai˨˦ kuŋ ʒin˩	/mechanic/
機械工程	kji ɦiai˨˦ kuŋ tʃʱiŋ˩	/mechanical engineering/
機械師	kji ɦiai˨˦ ʂɨ	/mechanic/engineer/machinist/machine operator/CL:個|个,位/
機械性	kji ɦiai˨˦ siŋ˨˦	/mechanical/
機械戰警	kji ɦiai˨˦ tʃiɛn˨˦ kiŋ˥˧	/RoboCop (movie)/
機械碼	kji ɦiai˨˦ ma˥˧	/machine code/
機械翻譯	kji ɦiai˨˦ fan jiʔᵏ˩	/machine translation/
機械鐘	kji ɦiai˨˦ tʃyuŋ	/mechanical clock/
機構	kji kəw˨˦	/mechanism/structure/organization/agency/institution/CL:所/
機油	kji jiw˩	/engine oil/
機理	kji li˥˧	/mechanism/
機甲	kji kiaʔᵖ	/mecha (human-operated robots in Japanese manga)/
機箱	kji siɑŋ	/computer case/
機組	kji tsu˥˧	/flight crew (on a plane)/unit (apparatus)/
機翻	kji fan	/machine translation (abbr. for 機器翻譯|机器翻译)/
機翼	kji jiʔᵏ˩	/wing (of an aircraft)/
機詐	kji ʈʂa˨˦	/deceitful/
機謀	kji məw˩	/stratagem/scheme/shrewdness/
機警	kji kiŋ˥˧	/perceptive/astute/sharp/sharp-witted/vigilant/alert/
機變	kji piɛn˨˦	/improvisation/flexible/adaptable/pragmatic/
機身	kji ʃin	/body of a vehicle or machine/fuselage of a plane/
機軸	kji dʒyuʔᵏ˩	/arbor/shaft (in a machine)/
機遇	kji ŋy˨˦	/opportunity/favorable circumstance/stroke of luck/
機運	kji jyun˨˦	/chance and opportunity/
機電	kji diɛn˨˦	/machinery and power-generating equipment/electromechanical/
機靈	kji liŋ˩	/clever/quick-witted/
機靈鬼	kji liŋ˩ kui˥˧	/(jocularly) clever and quick-witted person/
機頂盒	kji tiŋ˥˧ ɦɔʔᵖ˩	/set-top box/decoder for digital or satellite TV signal etc/
機頭	kji tʱəw˩	/the front (nose) of a plane etc/
機頭座	kji tʱəw˩ dz(w)ɔ˨˦	/headstock/turning head of a screw, drill, lathe etc/
機體	kji tʰi˥˧	/organism (biology)/airframe (aeronautics)/
橡	sʱiɑŋ'˨˦	/oak/Quercus serrata/
橡子	sʱiɑŋ'˨˦ tsɨ˥˧	/acorn/
橡實	sʱiɑŋ'˨˦ ʃʱiʔᵗ˩	/acorn/
橡木	sʱiɑŋ'˨˦ muʔᵏ˩	/oaken/
橡皮	sʱiɑŋ'˨˦ pʱi˩	/rubber/an eraser/CL:塊|块/
橡皮球	sʱiɑŋ'˨˦ pʱi˩ kʱiw˩	/rubber ball/
橡皮筋	sʱiɑŋ'˨˦ pʱi˩ kin	/rubber band/
橡皮線	sʱiɑŋ'˨˦ pʱi˩ siɛn˨˦	/wire (sheathed in rubber)/cable/
橢	tʰ(w)ɔ˥˧	/ellipse/
橢圓	tʰ(w)ɔ˥˧ jyuɛn˩	/oval/ellipse/elliptic/
橢圓形	tʰ(w)ɔ˥˧ jyuɛn˩ ɦiŋ˩	/oval/
橢圓曲線	tʰ(w)ɔ˥˧ jyuɛn˩ kʰyuʔᵏ siɛn˨˦	/(math.) elliptic curve/
橢圓機	tʰ(w)ɔ˥˧ jyuɛn˩ kji	/elliptical machine (exercise)/
橢球	tʰ(w)ɔ˥˧ kʱiw˩	/ellipsoid (math)/
橤	ʒui˥˧	/variant of 蕊/
橧	tsəŋ	/dwelling on top of wooden stakes/
橾	saw	/old variant of 鍬|锹/
橾	saw	/the hole in the center of a wheel accommodating the axle (archaic)/
橿	kiɑŋ	/Quercus glauca/
檀	tʱan˩	/surname Tan/
檀	tʱan˩	/sandalwood/hardwood/purple-red/
檀君	tʱan˩ kyun	/Tangun, legendary founder of Korea in 2333 BC/
檀香	tʱan˩ hiɑŋ	/sandalwood/
檀香山	tʱan˩ hiɑŋ ʂan	/Honolulu, capital of Hawaii/also transliterated as 火奴魯魯|火奴鲁鲁/
檄	ɦiʔᵏ˩	/dispatch/order/
檉	tʃʰiŋ	/tamarisk/
檎	kʱim˩	/(fruit)/
檖	sʱui˨˦	/(tree)/
檗	pəʔᵏ	/Phellodendron amurense/
檟	kia˥˧	/Catalpa, a genus of mostly deciduous trees/old term for Camellia sinensis, the tea plant 茶/also called Thea sinensis/small evergreen shrub (Mallotus japonicus)/
檢	kiɛm˥˧	/to check/to examine/to inspect/to exercise restraint/
檢字法	kiɛm˥˧ dzɨ˨˦ faʔᵖ	/indexing system for Chinese characters in a dictionary/
檢字表	kiɛm˥˧ dzɨ˨˦ piɛw˥˧	/word index (of a dictionary)/
檢察	kiɛm˥˧ ʈʂʰaʔᵗ	/to inspect/(law) to prosecute/to investigate/
檢察官	kiɛm˥˧ ʈʂʰaʔᵗ kwɔn	/public prosecutor/public procurator (judicial officer whose job may involve both criminal investigation and public prosecution)/
檢察院	kiɛm˥˧ ʈʂʰaʔᵗ (ŋ)jyuɛn˨˦	/prosecutor's office/procuratorate/
檢屍	kiɛm˥˧ ʃɨ	/autopsy/necropsy/postmortem examination/
檢查	kiɛm˥˧ ʈʂʱa˩	/inspection/to examine/to inspect/CL:次/
檢測	kiɛm˥˧ ʈʂʰəʔᵏ	/to detect/to test/detection/sensing/
檢測儀	kiɛm˥˧ ʈʂʰəʔᵏ ji˩	/sensor/detector/
檢測器	kiɛm˥˧ ʈʂʰəʔᵏ kʰi˨˦	/detector/
檢疫	kiɛm˥˧ jyuəʔᵏ˩	/quarantine/
檢討	kiɛm˥˧ tʰaw˥˧	/to examine or inspect/self-criticism/review/
檢證	kiɛm˥˧ tʃiŋ˨˦	/verification/inspection (loanword from Japanese)/
檢證程序	kiɛm˥˧ tʃiŋ˨˦ tʃʱiŋ˩ sʱy'˨˦	/procedure of verification (accountancy)/
檢閱	kiɛm˥˧ jyuɛʔᵗ˩	/to inspect/to review (troops etc)/military review/
檢驗	kiɛm˥˧ ŋiɛm˨˦	/to inspect/to examine/to test/
檢點	kiɛm˥˧ tiɛm˥˧	/to examine/to check/to keep a lookout/cautious/restrained (in speech or mannerisms)/
檣	tsʱiɑŋ˩	/boom/mast/
櫂	ɖʐaw˨˦	/oar (archaic)/scull/paddle/to row/a boat/
櫃	gui˨˦	/cupboard/cabinet/wardrobe/
櫃子	gui˨˦ tsɨ˥˧	/cupboard/cabinet/
櫓	lu˥˧	/scull (single oar worked from side to side over the stern of a boat) (free word)/
櫚	ly˩	/palm tree/
櫛	ʈʂəʔᵗ	/comb/to comb/to weed out/to eliminate/Taiwan pr. [jie2]/
櫜	kaw	/weapon case/
櫝	duʔᵏ˩	/cabinet/case/casket/
櫞	jyuɛn˩	/Citrus medica/
櫠	fi˨˦	/a variety of pomelo (old)/
櫡	dʒy˨˦	/variant of 箸/
櫧	tʃy	/Quercus glanca/
櫨	lu˩	/capital (of column)/smoke tree/
櫪	liʔᵏ˩	/type of oak/stable (for horses)/
櫫	tʃy	/Zelkova acuminata/
櫬	ʈʂʰən˨˦	/Sterculia plantanifolia/coffin/
櫳	lyuŋ˩	/bar/cage/gratings/
櫸	ky˥˧	/Zeikowa acuminata/
櫸木	ky˥˧ muʔᵏ˩	/beech/
櫺	liŋ˩	/latticework on a window/
櫻	ʔiŋ	/cherry/
櫻島	ʔiŋ taw˥˧	/Sakurajima, an active volcano in Kagoshima prefecture, Japan/
櫻桃	ʔiŋ tʱaw˩	/cherry/
櫻桃園	ʔiŋ tʱaw˩ jyuɛn˩	/The Cherry Orchard, a play by Chekhov 契訶夫|契诃夫/
櫻桃小口	ʔiŋ tʱaw˩ siɛw˥˧ kʰəw˥˧	/see 櫻桃小嘴|樱桃小嘴/
櫻桃蘿蔔	ʔiŋ tʱaw˩ lɔ˩ bəʔᵏ˩	/summer radish (the small red kind)/
櫻花	ʔiŋ hwa	/oriental cherry (Prunus serrulata or Prunus yedoensis), prized for its blossom/also known as sakura (Japanese) or Yoshino cherry/
櫻花妹	ʔiŋ hwa mui˨˦	/(coll.) Japanese girl/
櫻花草	ʔiŋ hwa tsʰaw˥˧	/primrose/
櫽	ʔin˨˦	/tool used for shaping wood (old)/old variant of 檃/
欃	ʈʂʰam	/sandalwood (Santalum album), a Nepalese tree producing valuable fragrant oil/comet/
權	kʱyuɛn˩	/surname Quan/
權	kʱyuɛn˩	/authority/power/right/(literary) to weigh/expedient/temporary/
權位	kʱyuɛn˩ ui˨˦	/power and position (politics)/
權充	kʱyuɛn˩ tʃʰyuŋ	/to act temporarily as/
權利	kʱyuɛn˩ li˨˦	/power/right/privilege/
權利法案	kʱyuɛn˩ li˨˦ faʔᵖ ʔɑn˨˦	/bill of rights/
權力	kʱyuɛn˩ liʔᵏ˩	/power/authority/
權勢	kʱyuɛn˩ ʃji˨˦	/power/influence/
權威	kʱyuɛn˩ ʔui	/authority/authoritative/power and prestige/
權威性	kʱyuɛn˩ ʔui siŋ˨˦	/authoritative/(having) authority/
權宜	kʱyuɛn˩ ji˩	/expedient/
權宜之策	kʱyuɛn˩ ji˩ tʃɨ ʈʂʰəʔᵏ	/stratagem of convenience (idiom); stop-gap measure/makeshift plan/interim step/
權宜之計	kʱyuɛn˩ ji˩ tʃɨ kji˨˦	/plan of convenience (idiom); stop-gap measure/makeshift stratagem/interim step/
權慾薰心	kʱyuɛn˩ jyuʔᵏ˩ hyun sim	/obsessed by a craving for power/power-hungry/
權時	kʱyuɛn˩ ʃʱɨ˩	/(literary) temporarily/
權柄	kʱyuɛn˩ piŋ˨˦	/authority/
權益	kʱyuɛn˩ ʔiʔᵏ	/rights/interests/rights and benefits/
權謀	kʱyuɛn˩ məw˩	/trickery/tactics/
權證	kʱyuɛn˩ tʃiŋ˨˦	/warrant (finance)/
權變	kʱyuɛn˩ piɛn˨˦	/to do whatever is expedient/
權變理論	kʱyuɛn˩ piɛn˨˦ li˥˧ lun˨˦	/contingency theory (theory of leadership)/
權貴	kʱyuɛn˩ kui˨˦	/influential officials/bigwigs/
權遊	kʱyuɛn˩ jiw˩	/Game of Thrones (TV series)/abbr. for 權力的遊戲|权力的游戏/
權鑰	kʱyuɛn˩ jiɒʔᵏ˩	/keys of authority/
欐	lji˨˦	/beam/
欒	lwɔn˩	/surname Luan/
欒	lwɔn˩	/Koelreuteria paniculata/
欒城	lwɔn˩ tʃʱiŋ˩	/Luancheng county in Shijiazhuang 石家莊|石家庄, Hebei/
欒川	lwɔn˩ tʃʰyuɛn	/Luanchuan county in Luoyang 洛陽|洛阳, Henan/
欠	kʰiɛm˨˦	/deficient/to owe/to lack/yawn/
欠妥	kʰiɛm˨˦ tʰ(w)ɔ˥˧	/improper/inappropriate/unsatisfactory/inadequate/
欠安	kʰiɛm˨˦ ʔɑn	/ill (euphemism)/
欠款	kʰiɛm˨˦ kʰwɔn˥˧	/to owe a debt/balance due/debts/
欠缺	kʰiɛm˨˦ kʰyuɛʔᵗ	/to be deficient in/lapse/deficiency/
欠薪	kʰiɛm˨˦ sin	/to owe wages/back pay/wages arrears/
欠身	kʰiɛm˨˦ ʃin	/to half rise out of one's chair (a polite gesture)/
欠項	kʰiɛm˨˦ ɦiɑŋ'˨˦	/liabilities/debt/
欣	hin	/happy/
欣喜	hin hi˥˧	/happy/
欣幸	hin ɦiŋ'˨˦	/delighted/overjoyed/
欣弗	hin fuʔᵗ	/brand name of an antibiotic injection blamed for a number of deaths in 2006/
欣慰	hin ʔui˨˦	/to be gratified/
欣欣向榮	hin hin hiɑŋ˨˦ jyuəŋ˩	/(idiom) flourishing/thriving/
欣然	hin ʒiɛn˩	/gladly/cheerfully/
欣賞	hin ʃiɑŋ˥˧	/to appreciate/to enjoy/to admire/
欨	hy	/(literary) to blow or breathe upon/happy/
欬	kʰai˨˦	/to cough/
欱	ɦɔʔᵖ˩	/variant of 喝/
欹	ʔi	/interjection/
欺	kʰji	/to take unfair advantage of/to deceive/to cheat/
欺侮	kʰji vu˥˧	/to bully/
欺壓	kʰji ʔiaʔᵖ	/to bully/to push around/
欺瞞	kʰji mwɔn˩	/to fool/to hoodwink/to dupe/
欺矇	kʰji muŋ˩	/to deceive/to dupe/
欺詐	kʰji ʈʂa˨˦	/to cheat/
欺詐者	kʰji ʈʂa˨˦ tʃiɛ˥˧	/deceiver/
欺辱	kʰji ʒyuʔᵏ˩	/to humiliate/humiliation/
欻	ɦyʔᵗ	/(onom.) crashing sound/
欻	ɦyʔᵗ	/suddenly/also pr. [hu1]/
欽	kʰim	/surname Qin/
欽	kʰim	/to respect/to admire/to venerate/by the emperor himself/
欽佩	kʰim bui˨˦	/to admire/to look up to/to respect sb greatly/
欽命	kʰim miŋ˨˦	/Imperial order or edict (old)/
欽定	kʰim diŋ˨˦	/compiled and published by Imperial command (old)/
欽州	kʰim tʃiw	/Qinzhou prefecture level city in Guangxi/
欽挹	kʰim ʔiʔᵖ	/to admire and respect/to look up to/
欽敬	kʰim kiŋ˨˦	/to admire and respect/
款	kʰwɔn˥˧	/section/paragraph/funds/CL:筆|笔,個|个/classifier for versions or models (of a product)/
款兒	kʰwɔn˥˧ ɻ˩	/haughty manner/proud bearing/
款冬	kʰwɔn˥˧ tuŋ	/coltsfoot (Tussilago farfara), plant in sunflower family Asteracae used a cough suppressant/
款到發貨	kʰwɔn˥˧ taw˨˦ faʔᵗ hwɔ˨˦	/dispatch upon receipt of payment/
款子	kʰwɔn˥˧ tsɨ˥˧	/a sum of money/CL:筆|笔/
款式	kʰwɔn˥˧ ʃiʔᵏ	/pattern/style/design/CL:種|种/
款式	kʰwɔn˥˧ ʃiʔᵏ	/elegant/elegance/good taste/
款新	kʰwɔn˥˧ sin	/new (model)/recently developed (product)/
款款	kʰwɔn˥˧ kʰwɔn˥˧	/leisurely/sincerely/
款步	kʰwɔn˥˧ bu˨˦	/to walk slowly/with deliberate steps/
款項	kʰwɔn˥˧ ɦiɑŋ'˨˦	/funds/a sum of money/CL:宗/
歃	ʃiɛʔᵖ	/to drink/
歃血	ʃiɛʔᵖ hyuɛʔᵗ	/to smear one's lips with the blood of a sacrifice as a means of pledging allegiance (old)/
歆	him	/pleased/moved/
歇	hiɛʔᵗ	/to rest/to take a break/to stop/to halt/(dialect) to sleep/a moment/a short while/
歇山頂	hiɛʔᵗ ʂan tiŋ˥˧	/(East Asian) hip-and-gable roof/
歇心	hiɛʔᵗ sim	/to drop the matter/to stop worrying/
歇息	hiɛʔᵗ siʔᵏ	/to have a rest/to stay for the night/to go to bed/to sleep/
歇手	hiɛʔᵗ ʃiw˥˧	/to rest/to take a break/
歇業	hiɛʔᵗ ŋiɛʔᵖ˩	/to close down (temporarily or permanently)/to go out of business/
歇腳	hiɛʔᵗ kiɒʔᵏ	/to stop on the way for a rest/
歇艎	hiɛʔᵗ ɦwɑŋ˩	/large warship/
歇菜	hiɛʔᵗ tsʰai˨˦	/Stop it! (Beijing and Internet slang)/Game over!/You're dead!/
